the_geom,id,continent,country,city,iso_a3,name,h_type,cartodb_id,src_year,src_type,src_add,src_status,src_drawer,notes,h_special,h_vaccine,within_5km,optid,fib_dist,adm1_name
0101000020E610000086E0C9B8F39756407EADB7729BBD3740,,Asia,Bangladesh,,BGD,Government Remeta Employee Hospital,Hospital,45891,25,22,22,22,119,,,,TRUE,45891,,Dhaka
0101000020E6100000B23511ECAE9856409D3E4C0C13BF3740,,Asia,Bangladesh,,BGD,Green Life Medical College,Hospital,46787,25,22,22,22,119,,,,TRUE,46787,,Dhaka
0101000020E61000002E22E5828E995640D89D5A22BCBE3740,,Asia,Bangladesh,,BGD,Holy Family Hospital,Hospital,49846,25,22,22,22,119,,,,TRUE,49846,,Dhaka
0101000020E6100000FDBBAA58219856401282C1DABDB73740,,Asia,Bangladesh,,BGD,Kamrangirchar Govt. Hospital,Hospital,52462,25,22,22,22,119,,,,TRUE,52462,,Dhaka
0101000020E61000008AFDC0B0D7975640403B5DCC85BE3740,,Asia,Bangladesh,,BGD,Prime Bank Eye  HOspitals,Hospital,53774,25,22,22,22,119,,,,TRUE,53774,,Dhaka
0101000020E6100000E44B5E53D69756403EA7D6B100B83740,,Asia,Bangladesh,,BGD,Khalife Ghat Chow-nasta,Hospital,53997,25,22,22,22,119,,,,TRUE,53997,,Dhaka
0101000020E61000003E468B99E89856402452ABF93BC03740,,Asia,Bangladesh,,BGD,MH Samorita Medical College and Dental Unit,Hospital,54179,25,22,22,22,119,,,,TRUE,54179,,Dhaka
0101000020E6100000725B6CA4B69856402C1C74AECDBF3740,,Asia,Bangladesh,,BGD,Comfort Diagnostic Center,Hospital,54307,25,22,22,22,119,,,,TRUE,54307,,Dhaka
0101000020E61000006703B00191975640AF81CF6ADCBC3740,,Asia,Bangladesh,,BGD,MSF Occupational Health Clinic,Medical Clinic,54362,25,22,22,22,119,,,,TRUE,54362,,Dhaka
0101000020E61000005188ADBDB6985640C223021FCDBF3740,,Asia,Bangladesh,,BGD,Comfort Hospital,Hospital,54452,25,22,22,22,119,,,,TRUE,54452,,Dhaka
