the_geom,cleanup,type,country,iso_a3,pop_max,pop_min,name,continent,date_add,cartodb_id,mapper,population,src_geo,src_pop,pop_src_yr,within_5km,region,adm1_name,fib_dist,pop_perc
0101000020E6100000000D6EF466095C403269429767024040,2018-08-08,Populated place,China,CHN,1069000,462956,Xiangfan,Asia,2018-08-08,5859,HIP-JM,462956,1,1,2014,false,x,Hubei,,0.035510385665633700
0101000020E61000009DABADD85FF4614055FE006E8D6D0CC0,2018-08-08,Provincial Capital,Papua New Guinea,PNG,25143,18230,Wewak,Oceania,2018-08-08,5679,HIP-JM,18230,1,1,2014,false,x,East Sepik,,0.23018185376570800
0101000020E61000000AE31357BAA96140B8A2F2351F8505C0,2018-08-08,Provincial Capital,Papua New Guinea,PNG,11204,11204,Vanimo,Oceania,2018-08-08,205,HIP-JM,11204,1,1,2014,false,x,Sandaun,,0.14146777233082800
0101000020E6100000C0B7FAFB96046340B4DE4C126CD210C0,2018-08-08,Provincial Capital,Papua New Guinea,PNG,8074,3714,Rabaul,Oceania,2018-08-08,6318,HIP-JM,3714,1,1,2014,false,x,East New Britain,,0.046894975583425100
0101000020E6100000B5FF6DBBF56862408D2C54438A4100C0,2018-08-08,Provincial Capital,Papua New Guinea,PNG,5806,5806,Lorengau,Oceania,2018-08-08,209,HIP-JM,5806,1,1,2014,false,x,Manus,,0.073309700656264500
0101000020E610000052FD4AE703DA624054B3276578A604C0,2018-08-08,Provincial Capital,Papua New Guinea,PNG,19728,14490,Kavieng,Oceania,2018-08-08,5681,HIP-JM,14490,1,1,2014,false,x,New Ireland,,0.18295858810011600
0101000020E6100000278C779193C46240B00525F5333316C0,2018-08-08,Provincial Capital,Papua New Guinea,PNG,18847,18847,Kimbe,Oceania,2018-08-08,210,HIP-JM,18847,1,1,2014,false,x,West New Britain,,0.23797242994636900
0101000020E6100000C77EBB911ECD6240F8524A9801E615C0,2018-08-08,Populated place,Papua New Guinea,PNG,871,871,Hoskins,Oceania,2018-08-08,2778,HIP-JM,871,1,1,2014,false,x,West New Britain,,0.010997717752601900
0101000020E6100000D3919E1A16673340A36DCB9950184B40,2018-08-08,Provincial Capital,Poland,POL,127558,121106,Elblag,Europe,2018-08-08,1167,HIP-JM,121106,1,1,2014,false,x,Warmian-Masurian,,0.31913657883985300
0101000020E6100000A16C2D4099593640EDC5B4C2B6EA4A40,2018-08-08,Populated place,Poland,POL,55769,46856,Elk,Europe,2018-08-08,3263,HIP-JM,46856,1,1,2014,false,x,Warmian-Masurian,,0.12347417583043100
0101000020E610000061D2412CD5782E4057105F60355E4A40,2018-08-08,Provincial Capital,Poland,POL,0,124430,Gorzow Wielkopolski,Europe,2018-08-08,7366,HIP-JM,124430,1,1,2014,false,x,Lubusz,,0.32789593005336600
0101000020E6100000CD733C4D03002F407D2DA7EBA6F94940,2018-08-08,Provincial Capital,Poland,POL,118433,109298,Zielona Gora,Europe,2018-08-08,3267,HIP-JM,109298,1,1,2014,false,x,Lubusz,,0.28802032759762700
0101000020E6100000DD96D076AF87324046AA19C69B424B40,2018-08-08,Populated place,Poland,POL,314664,253730,Gdynia,Europe,2018-08-08,3264,HIP-JM,253730,1,1,2014,false,x,Pomeranian,,0.66862520559704600
0101000020E61000007D05F56F8F0232407B7644AE698F4A40,2018-08-08,Provincial Capital,Poland,POL,366452,365992,Bydgoszcz,Europe,2018-08-08,3270,HIP-JM,365992,1,1,2014,false,x,Kuyavian-Pomeranian,,0.96445621821177700
0101000020E61000001A716B4032254FC0B0D0510A0FA15440,2018-08-08,Populated place,Canada,CAN,125,70,Alert,North America,2018-08-08,6043,HIP-JM,70,1,1,2014,false,x,,,0.00019290960738072200
0101000020E6100000607F67EA3B0557C002DCA75F95674F40,2018-08-08,Populated place,Canada,CAN,2472,2334,Rankin Inlet,North America,2018-08-08,6044,HIP-JM,2334,1,1,2014,false,x,,,0.0064321574803800600
0101000020E6100000EF740611E58653C0757189F4EA394D40,2018-08-08,Populated place,Canada,CAN,1597,1597,Inukjuak,North America,2018-08-08,6062,HIP-JM,1597,1,1,2014,false,x,,,0.0044010948998144600
0101000020E6100000EB6B58585B8750C0155F367727EB4540,2018-08-08,Populated place,Canada,CAN,7500,7366,Yarmouth,North America,2018-08-08,6067,HIP-JM,7366,1,1,2014,false,x,,,0.020299602399519900
0101000020E610000086DDB5E88C824CC0381631817FDA4A40,2018-08-08,Populated place,Canada,CAN,505,505,Cartwright,North America,2018-08-08,6069,HIP-JM,505,1,1,2014,false,x,,,0.0013917050246752100
0101000020E61000000C04BB3F0C374DC030D87A40EF164B40,2018-08-08,Populated place,Canada,CAN,124,124,Rigolet,North America,2018-08-08,6070,HIP-JM,124,1,1,2014,false,x,,,0.00034172559021727800
0101000020E6100000F4DC81C0E87053C025DB0F7F5A6C1C40,2018-08-08,Populated place,Colombia,COL,2351,2351,Jurado,Latin America,2018-08-08,3509,HIP-JM,2351,1,1,2014,false,x,,,0.0054313632093271400
0101000020E6100000737BDEC7B0F21EC0CFAA3BBBA1A54440,2018-08-08,Provincial Capital,Portugal,PRT,17001,17001,Vila Real,Europe,2018-08-08,180,HIP-JM,17001,1,1,2014,false,x,Vila Real,,0.1607948473011700
0101000020E6100000971261DA6F3E21C0F1D3452B73934440,2018-08-08,Provincial Capital,Portugal,PRT,1337000,249633,Porto,Europe,2018-08-08,4960,HIP-JM,249633,1,1,2014,false,x,Porto,,2.3610199468462400
